Part Name, Total Quantity Required, Note
LilyGo TTGO T-Beam v1.1 SX1262 + GPS NEO-M8N + ESP32 + BMS, 1, 
GPS Antenna, 1, 
LoRa Antenna, 1, 
u.FL to Waterproof SMA Adapter Cable, 1, 
NCR 18650B Li-Ion Battery 3400mAh, 1, 
LED RGB, 1,
